member_casual,hour,number_of_rides,average_duration
casual,00,22723,18.85348242968841
casual,01,14261,19.45688297219156
casual,02,9114,19.20387567480405
casual,03,4988,19.048922427180646
casual,04,4042,16.257319911790923
casual,05,7241,16.20839449432967
casual,06,18197,14.50844197394492
casual,07,34431,15.076160426638346
casual,08,48732,16.816927754859343
casual,09,49161,23.2879685780851
casual,10,60999,27.135602238028746
casual,11,77914,27.233853870700116
casual,12,90549,25.914587959198148
casual,13,92331,25.915481815420748
casual,14,97195,25.39809090487973
casual,15,106735,23.56327954122561
casual,16,121655,21.741347319600536
casual,17,128050,21.017578859566115
casual,18,105344,20.912642669578705
casual,19,76012,20.90076672344302
casual,20,54663,20.11051191604351
casual,21,46149,19.498424920709784
casual,22,38721,19.156697797058637
casual,23,28010,19.76688937105241
member,00,17633,11.987752889460976
member,01,10327,11.875237361596223
member,02,5887,12.589915845644686
member,03,3941,12.683153966885175
member,04,5278,10.999327235702497
member,05,23884,11.129513774928268
member,06,74438,10.925521859806912
member,07,149133,11.105833953254498
member,08,182438,10.967405099267227
member,09,114945,11.033990179067947
member,10,98509,11.938968223203572
member,11,114373,12.225935499793728
member,12,129265,11.966676989265787
member,13,126517,12.047861738867503
member,14,128816,12.500176245308126
member,15,162419,12.546247308292497
member,16,232286,12.774116817555496
member,17,261815,13.035296328448673
member,18,193663,12.822020942820284
member,19,131211,12.689242246591744
member,20,89234,12.515377807969852
member,21,68320,12.44138622438512
member,22,48140,12.298009002220043
member,23,29072,12.633369241899826
